SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
SS[C@@H]1C=CC=C1C(=O)C1C(Cl)=CC(=C(C=1)O)O;2/000000042;InChI=1S/C12H9ClO3S2/c13-8-5-10(15)9(14)4-7(8)12(16)6-2-1-3-11(6)18-17/h1-5,11,14-15,17H/t11-/m1/s1;C12H9O3S2Cl;300;2.33;3.39;-4.18;2.22;-150
OC1=C(O)C=C(C(=C1)Cl)C(=O)O[C@@H](/C=C/N)C=C;2/000000047;InChI=1S/C12H12ClNO4/c1-2-7(3-4-14)18-12(17)8-5-10(15)11(16)6-9(8)13/h2-7,15-16H,1,14H2/b4-3+/t7-/m1/s1;C12H12NO4Cl;269;2.12;3.88;-1.55;3.85;-150
OC1C=C(C(=O)OC/C=C(\COC)/N)C(=CC=1O)Cl;2/000000039;InChI=1S/C12H14ClNO5/c1-18-6-7(14)2-3-19-12(17)8-4-10(15)11(16)5-9(8)13/h2,4-5,15-16H,3,6,14H2,1H3/b7-2+;C12H14NO5Cl;287;1.35;3.43;-2.54;3.85;-40
OC1=CC=C(C=C1)C(=C)C(=O)C1=CNCS1;2/000000014;InChI=1S/C12H11NO2S/c1-8(9-2-4-10(14)5-3-9)12(15)11-6-13-7-16-11/h2-6,13-14H,1,7H2;C12H11NO2S;233;1.92;3.01;-0.41;2.22;0
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000036;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.45;-0.49;3.85;0
SC1=CC(N(=O)=O)=CC(=C1)[C@H](CCOC)N;2/000000055;InChI=1S/C10H14N2O3S/c1-15-3-2-10(11)7-4-8(12(13)14)6-9(16)5-7/h4-6,10,16H,2-3,11H2,1H3/t10-/m0/s1;C10H14N2O3S;242;1.68;3.22;-6.87;2.48;-190
SC1=CNC2C1=CC=CC=2[C@@H](CN(=O)=O)Cl;2/000000056;InChI=1S/C10H9ClN2O2S/c11-8(5-13(14)15)6-2-1-3-7-9(16)4-12-10(6)7/h1-4,8,12,16H,5H2/t8-/m1/s1;C10H9N2O2SCl;256;2.78;3.15;-5.59;17.00;-190
OC1=CC=C(C=C1)C(=C)C(=O)/C=C/CNCC;2/000000029;InChI=1S/C14H17NO2/c1-3-15-10-4-5-14(17)11(2)12-6-8-13(16)9-7-12/h4-9,15-16H,2-3,10H2,1H3/b5-4+;C14H17NO2;231;2.20;3.06;-1.78;2.22;-40
OC1C(Cl)=CC(=C(C=1)N(=O)=O)O;2/000000043;InChI=1S/C6H4ClNO4/c7-3-1-6(10)4(8(11)12)2-5(3)9/h1-2,9-10H;C6H4NO4Cl;189;1.72;3.06;0.35;1.11;0
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000002;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.45;-0.49;3.85;0
OC(=O)/C=C\C1=NCN(C=N1)C1=CC=C(C=C1)O;2/000000018;InChI=1S/C12H11N3O3/c16-10-3-1-9(2-4-10)15-7-13-11(14-8-15)5-6-12(17)18/h1-7,16H,8H2,(H,17,18)/b6-5-;C12H11N3O3;245;1.34;3.27;-0.92;18.50;-160
OC1C=C(C(=O)OC/C=C(\COC)/N)C(=CC=1O)Cl;2/000000037;InChI=1S/C12H14ClNO5/c1-18-6-7(14)2-3-19-12(17)8-4-10(15)11(16)5-9(8)13/h2,4-5,15-16H,3,6,14H2,1H3/b7-2+;C12H14NO5Cl;287;1.35;3.58;-2.04;3.85;-40
SC1=CNC2C1=CC=CC=2[C@@H](CN(=O)=O)Cl;2/000000058;InChI=1S/C10H9ClN2O2S/c11-8(5-13(14)15)6-2-1-3-7-9(16)4-12-10(6)7/h1-4,8,12,16H,5H2/t8-/m1/s1;C10H9N2O2SCl;256;2.78;3.69;-6.32;17.00;-190
