SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
C1=NC(=CC=C1N1C(=CCNC1)C(=O)[O-])CCl;3/000000039;InChI=1S/C11H12ClN3O2/c12-5-8-1-2-9(6-14-8)15-7-13-4-3-10(15)11(16)17/h1-3,6,13H,4-5,7H2,(H,16,17)/p-1;C11H11N3O2Cl;252;0.82;3.25;-2.42;15.90;-160
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NCC[NH3+])/C2;3/000000433;InChI=1S/C14H17N3O3/c15-6-7-16-12(18)5-4-10-8-9-2-1-3-11(14(19)20)13(9)17-10/h1-4,17H,5-8,15H2,(H,16,18)(H,19,20)/p+1/b10-4+;C14H18N3O3;276;0.39;4.43;-3.69;3.58;-40
C1=CCNCN1[C@@](CC#CC1=C(Cl)N=CN1)(C(=O)CC)Cl;3/000000353;InChI=1S/C14H16Cl2N4O/c1-2-12(21)14(16,20-8-4-7-17-10-20)6-3-5-11-13(15)19-9-18-11/h4,8-9,17H,2,6-7,10H2,1H3,(H,18,19)/t14-/m0/s1;C14H16N4OCl2;326;2.17;3.90;-5.36;3.58;-190
C1=CCNCN1[C@@](CC#CC1=C(Cl)N=CN1)(C(=O)CC)Cl;3/000000225;InChI=1S/C14H16Cl2N4O/c1-2-12(21)14(16,20-8-4-7-17-10-20)6-3-5-11-13(15)19-9-18-11/h4,8-9,17H,2,6-7,10H2,1H3,(H,18,19)/t14-/m0/s1;C14H16N4OCl2;326;2.17;3.86;-5.52;3.58;-170
OC/C=C\1/NC2C(C1)=CC=CC=2NC(=O)CC;3/000000014;InChI=1S/C13H16N2O2/c1-2-12(17)15-11-5-3-4-9-8-10(6-7-16)14-13(9)11/h3-6,14,16H,2,7-8H2,1H3,(H,15,17)/b10-6+;C13H16N2O2;232;1.03;3.81;-3.29;14.20;-100
C1C(=CC=C2C=1C/C(=C\COC(=O)CN)/N2)COC;3/000000096;InChI=1S/C14H18N2O3/c1-18-9-10-2-3-13-11(6-10)7-12(16-13)4-5-19-14(17)8-15/h2-4,6,16H,5,7-9,15H2,1H3/b12-4+;C14H18N2O3;262;0.86;3.64;0.76;16.00;-80
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NC[C@@H](CO)F)/C2;3/000000466;InChI=1S/C15H17FN2O4/c16-10(8-19)7-17-13(20)5-4-11-6-9-2-1-3-12(15(21)22)14(9)18-11/h1-4,10,18-19H,5-8H2,(H,17,20)(H,21,22)/b11-4+/t10-/m0/s1;C15H17N2O4F;308;0.96;4.90;-2.45;4.94;-190
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NCCCCC(=O)O)/C2;3/000000479;InChI=1S/C17H20N2O5/c20-14(18-9-2-1-6-15(21)22)8-7-12-10-11-4-3-5-13(17(23)24)16(11)19-12/h3-5,7,19H,1-2,6,8-10H2,(H,18,20)(H,21,22)(H,23,24)/b12-7+;C17H20N2O5;332;1.42;4.51;-8.53;5.09;-40
C1=NC=CN1CCNC(=O)C/C=C\1/NC2C(C1)=CC=C(C=2)CC;3/000000187;InChI=1S/C18H22N4O/c1-2-14-3-4-15-12-16(21-17(15)11-14)5-6-18(23)20-8-10-22-9-7-19-13-22/h3-5,7,9,11,13,21H,2,6,8,10,12H2,1H3,(H,20,23)/b16-5+;C18H22N4O;310;2.08;4.33;-6.04;5.09;-60
OC/C=C\1/NC2C(C1)=CC=C(C=2)C(=O)CN;3/000000036;InChI=1S/C12H14N2O2/c13-7-12(16)9-2-1-8-5-10(3-4-15)14-11(8)6-9/h1-3,6,14-15H,4-5,7,13H2/b10-3+;C12H14N2O2;218;0.26;3.40;-3.39;3.72;-100
C1=NC=CN1CCNC(=O)C/C=C\1/NC2C(C1)=CC=C(C=2)CC;3/000000186;InChI=1S/C18H22N4O/c1-2-14-3-4-15-12-16(21-17(15)11-14)5-6-18(23)20-8-10-22-9-7-19-13-22/h3-5,7,9,11,13,21H,2,6,8,10,12H2,1H3,(H,20,23)/b16-5+;C18H22N4O;310;2.08;4.30;-5.31;5.09;-60
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NCC1=CN=CN=C1)/C2;3/000000449;InChI=1S/C17H16N4O3/c22-15(20-9-11-7-18-10-19-8-11)5-4-13-6-12-2-1-3-14(17(23)24)16(12)21-13/h1-4,7-8,10,21H,5-6,9H2,(H,20,22)(H,23,24)/b13-4+;C17H16N4O3;324;0.58;4.70;-6.74;5.09;-40
OC(=O)C1C=CC=C2C=1N/C(=C/CC(=O)NCCCCC(=O)O)/C2;3/000000478;InChI=1S/C17H20N2O5/c20-14(18-9-2-1-6-15(21)22)8-7-12-10-11-4-3-5-13(17(23)24)16(11)19-12/h3-5,7,19H,1-2,6,8-10H2,(H,18,20)(H,21,22)(H,23,24)/b12-7+;C17H20N2O5;332;1.42;4.50;-8.34;5.09;-40
OCC1=CC=C2C(=C1)C/C(=C\COC(=O)COC)/N2;3/000000320;InChI=1S/C14H17NO4/c1-18-9-14(17)19-5-4-12-7-11-6-10(8-16)2-3-13(11)15-12/h2-4,6,15-16H,5,7-9H2,1H3/b12-4+;C14H17NO4;263;0.93;3.51;1.99;15.80;-60
OC(=O)C1C=CC=C2C=1N/C(=C/CBr)/C2;3/000000166;InChI=1S/C11H10BrNO2/c12-5-4-8-6-7-2-1-3-9(11(14)15)10(7)13-8/h1-4,13H,5-6H2,(H,14,15)/b8-4+;C11H10NO2Br;268;2.75;3.17;-2.46;2.22;-60
OC(=O)C/C=C\1/NC2C(C1)=CC=CC=2CNC(=O)C;3/000000085;InChI=1S/C14H16N2O3/c1-9(17)15-8-11-4-2-3-10-7-12(16-14(10)11)5-6-13(18)19/h2-5,16H,6-8H2,1H3,(H,15,17)(H,18,19)/b12-5+;C14H16N2O3;260;1.16;3.51;-5.53;17.00;-120
N(CCCC1=CC=C(C=C1)N1C(=CCNC1)C(=O)[O-])C;3/000000348;InChI=1S/C15H21N3O2/c1-16-9-2-3-12-4-6-13(7-5-12)18-11-17-10-8-14(18)15(19)20/h4-8,16-17H,2-3,9-11H2,1H3,(H,19,20)/p-1;C15H20N3O2;274;1.55;3.77;-0.93;16.80;-180
